age,population
0,618858
1,644056
2,665596
3,686135
4,684992
5,691122
6,706742
7,727938
8,712204
9,700200
10,689733
11,695753
12,673789
13,660928
14,634043
15,624590
16,607496
17,599393
18,618873
19,639880
20,668129
21,679576
22,706968
23,715442
24,717748
25,740656
26,742735
27,765411
28,782363
29,770244
30,762666
31,771667
32,752937
33,760681
34,760003
35,741443
36,746952
37,745065
38,749311
39,750871
40,721254
41,672514
42,661799
43,673246
44,685484
45,696569
46,725600
47,755206
48,778729
49,759708
50,776578
51,775173
52,785471
53,784074
54,786165
55,777616
56,758665
57,740085
58,712624
59,681661
60,664457
61,649021
62,622905
63,599252
64,576200
65,575744
66,566050
67,547827
68,549233
69,557886
70,569617
71,598038
72,645078
73,493261
74,473332
75,466239
76,427207
77,375723
78,332047
79,339470
80,329713
81,312737
82,289092
83,265631
84,242740
85,214727
86,194007
87,177399
88,157770
89,135875
90+,517273
